"Hectare","Shift","Date","Anonymized Sighter","Sighter Observed Weather Data","Litter","Litter Notes","Other Animal Sightings","Hectare Conditions","Hectare Conditions Notes","Number of sighters","Number of Squirrels","Total Time of Sighting"
"17E","AM","10172018","247","55º F, Sunny","None",,"Birds, Ducks","Calm",,"1","11","35"
"17F","PM","10202018","128","61º F, Clear Sky",,,"Humans",,,"1","6",
"17F","AM","10072018","173","70º F, Cloudy","None",,"Humans, Dogs","Moderate",,"1","7","50"
"17G","AM","10182018","76","40º F, Windy, Clear","Some",,"Humans, Dogs","Busy",,"1","1","24"
"17G","PM","10172018","104","62º F, Sunny, light breeze & light sprinkle later on","None",,"Humans, Dogs, Other birds","Busy",,"1","4","25"
"17H","PM","10072018","87","79º F, Cloudy","None",,"Humans, Dogs","Busy",,"1","2","20"
"17H","AM","10102018","255","70º F, Humid and partly sunny","Some",,"Humans, Dogs, Robin","Moderate",,"1","0","25"
"17I","PM","10172018","202","62º F, cloudy, windy","Abundant",,"Humans, Dogs, Pigeons, Cats","Busy",,"1","1","20"
"17I","AM","10142018","230","49º F, calm & crisp","Some",,"Humans, Dogs","Busy","With street noise","1","4","27"
"18A","PM","10182018","69","49º F, Clear","Some",,"Dogs, Robins, Mourning Dove, Sparrow","Busy",,"1","1","20"
"18A","AM","10122018","211","58º F, cloudy, very windy","Some",,"Humans, Dogs, Robins, Blue jays","Calm",,"1","2","30"
"18B","PM","10182018","95","Sunny, Windy, Cool",,,,,,"1","0","30"
"18B","AM","10172018","247","57º F, sunny","None",,,"Calm",,"1","0","20"
"18C","PM","10182018","95",,"None",,"Humans, Dogs","Busy",,"1","9","40"
"18C","AM","10182018","224","40º F, Cold, Sunny, Windy","None",,"Humans, Dogs, Birds (lots)","Moderate",,"1","2","20"
"18D","PM","10172018","138","63º F, mostly sunny, off-&-on windy","Some",,"Humans, Dogs, Small birds","Calm",,"1","1","20"
"18E","PM","10062018","114","65º F, drizzly",,,"Humans, Dogs","Busy",,"1","1","21"
"18E","AM","10122018","211","58º F, cloudy, very windy","None",,"Humans, Dogs, Robins (Many)","Calm",,"1","0","23"
"18G","PM","10132018","203","49º F, breezy, partly cloudy","None",,"Humans, Dogs",,,"1","4","20"
"18H","PM","10142018","201","58º F, cool","None",,"Humans","Busy",,"1","3","20"
"18H","AM","10182018","239","44º F, Sunny, Clear Sky, Gusty","None",,"Humans","Calm",,"1","2","25"
"18I","AM","10172018","37","50º F, sunny","Abundant",,"Humans, Dogs","Calm",,"1","3","20"
"18I","PM","10072018","220","79º F, Partly Cloudy",,,"Humans, Dogs, Pigeons","Busy",,"1","9","20"
"19A","PM","10132018","13","~Low 50s, cold, partly cloudy, sunshine","Some","1 reusable bag","Humans, Dogs, Sparrows, Blue Finch-like Birds, Robins, Blackbirds","Busy",,"1","6","26"
"19A","AM","10132018","209","50º F, rain","None",,,"Calm","Calm (in Park), Traffic","1","0","18"
"19B","AM","10192018","148","46º F","Some",,"Humans, Dogs, Birds, but less Robins, Sparrows, Crows, Sterlings, Doves","Busy",,"1","2","25"
"19C","AM","10192018","148","46º F, Sunny Breezy","Some",,"Humans, Dogs, Robins, starling, Mourning dove, Finches, Sparrows","Busy",,"1","0","25"
"19D","AM","10072018","252","69º F","None",,"Humans, Dogs","Busy","Busy on path","1","2","20"
"19D","PM","10082018","266","68º F, misty","None",,"Humans, Blue jays, Cardinals, Sparrows, Titmice","Moderate",,"1","3","20"
"19E","PM","10182018","69","49º F, Clear","None",,"Dogs","Calm",,"1","5","30"
"19E","AM","10072018","252","69º F, Cloudy. A bit humid","None",,"Dogs","Busy","Busy on suncuncting(?) path","1","0","20"
"19F","PM","10172018","151","63º F, windy, cloudy",,,"Humans, Dogs","Calm",,"1","7","30"
"19F","AM","10072018","173","29º C, Cloudy","None",,"Dogs","Calm",,"1","3","50"
"19G","AM","10182018","17","43º F, Sunny","Some",,"Humans, Dogs","Busy",,"1","0","25"
"19G","PM","10172018","202","62º F, Partly Cloudy, very windy (attacked by flying leaves kind)","None",,"Humans, Dogs","Busy",,"1","3","24"
"19H","AM","10102018","255","70º F, Humid and cloudy","None",,"Humans, Dogs","Moderate",,"1","5","20"
"19I","PM","10172018","151","63º F, Breezy, Sunny","None",,"Humans, Pigeons","Busy",,"1","0","20"
"19I","AM","10172018","166","51º F, sunny, windy","None",,"Humans, Dogs","Busy",,"1","0","20"
"20A","PM","10172018","138","63º F, sunny then cloudy, wind gusts, a few raindrops","Some",,"Humans, Dogs, Small birds","Calm",,"1","1","23"
"20A","AM","10102018","166","73º F, Cloudy and humid","Some",,"Humans, Dogs, Pigeons, Birds","Calm",,"1","2","20"
"20B","PM","10132018","13","Low 50s, cold","Some","1 piece of plastic","Humans, Dogs, Pigeons, Robins, Blackbirds, Sparrows","Busy",,"1","10","22"
"20B","AM","10072018","82","70º F, Drizzly. Overcast.","None",,"Humans, Robin, Seagulls - lots flying high.","Calm",,"1","3","20"
"20C","AM","10182018","94","Sunny, Blue Sky","None",,"Humans, Dogs, Small birds","Busy",,"1","0","23"
"20C","PM","10182018","178","76º F, Sunny","None",,"Humans, Dogs","Busy",,"1","9","25"
"20D","PM","10142018","45","57º F, overcast","None",,"Humans, Dogs","Busy","Great lawn, (2/3 of this hectare fenced off for the season)","1","1","20"
"20D","AM","10072018","82","70º F","None",,"Humans, Dogs, Pigeons, Seagulls (3), Butterfly","Busy",,"1","2","25"
"20E","AM","10142018","132","49º F, sunny","None",,"Humans, Dogs, Jays","Busy","Lots of dogs off leash","1","2","20"
"20F","PM","10072018","132","78º F, Humid. Sunny. Filtered by trees","None",,"Humans, Dogs, Sparrows, Robins","Moderate",,"1","14","20"
"20F","AM","10142018","230","49º F, calm & crisp","Some",,"Humans, Dogs, Small birds","Busy",,"1","3","23"
"20G","AM","10182018","17","43º F, Partly Sunny, Breezy","Some",,"Humans, Hawks, Dogs","Busy",,"1","3","30"
"20G","PM","10132018","78","54º F, cloudy","None",,"Humans, Dogs, Pigeons, Robins","Busy",,"1","3","20"
"20H","PM","10132018","203","49º F, partly cloudy",,,"Humans, Dogs","Calm",,"1","0","23"
"20H","AM","10142018","240","55º F, partly sunny","None",,,"Busy","Construction site: no access until 2022","1","0","22"
"20I","PM","10182018","70","40º F, Sunny, Windy","None",,"Humans, Dogs, Pigeons","Busy",,"1","0","19"
"20I","AM","10172018","166","51º F, sunny, windy","None",,"Humans, Dogs","Busy",,"1","0","20"
"21B","PM","10172018","194","77º F, with some breeze","Some",,"Humans, Pigeons, Birds","Busy","Kids playing soccer","1","5","20"
"21C","AM","10142018","216","54º F, partly cloudy","Some",,"Humans, Dogs","Busy",,"1","5","23"
"21D","PM","10082018","266","68º F, misty","Some",,"Humans, Dogs, Chimney swifts, Blue jay","Busy",,"1","6","20"
"21E","PM","10122018","16","61º F, sunny","None",,"Bird","Calm","Empty, Roped Off","1","2","22"
"21E","AM","10172018","255","low 50s, cool & sunny","None",,"Humans, Dogs, Pigeons","Calm",,"1","3","20"
"21F","PM","10182018","76","50º F, Light wind, Clear","Some",,"Humans, Dogs","Busy",,"1","3","25"
"21F","AM","10182018","166","44º F, Sunny, Windy","None",,"Humans, Dogs, Robins","Busy",,"1","8","20"
"21G","PM","10072018","87","79º F, Some clouds","None",,"Humans, Dogs","Busy",,"1","4","25"
"21G","AM","10142018","240","55º F, partly sunny","Some",,"Humans, Dogs, Sparrows","Busy",,"1","7","25"
"21H","AM","10172018","37","50º F, Sunny","Some",,"Humans, Dogs","Busy",,"1","2","20"
"21H","PM","10182018","267","52º F, Clear, Windy","Some",,"Humans, Woodpecker","Calm",,"1","4","15"
"21I","AM","10182018","37","44º F, Sunny","Abundant",,"Humans, Dogs, Pigeons","Calm, Busy","Busy near street, near empty on the playground.","1","0","20"
"21I","PM","10132018","205","55º F, partly cloudy (sundown)","Some",,"Humans, Dogs, Sparrows, Migratory birds (a distant V of 30-40 going south)","Busy",,"1","0","20"
"22A","PM","10172018","194","75º F, with some breeze","None",,"Humans, Dogs","Busy","A lot of traffic noise","1","3","25"
"22B","AM","10132018","2","~58º F, wet, drizzle","Some",,"Humans, Dogs","Calm",,"1","5","30"
"22B","PM","10142018","75","50º F, Cloudy","Some",,"Humans, Dogs, Woodpecker, Blue jay, Robins","Busy",,"1","7","20"
"22C","AM","10132018","209","50º F, rain","None",,"Humans, Dogs","Calm",,"1","3","17"
"22D","PM","10122018","16","61º F, sunny","None",,"Humans, Pigeons, Sparrows","Calm, Busy",,"1","7","26"
"22D","AM","10082018","184","67º F, misty, cloudy, humid","None",,"Humans, Dogs","Calm",,"1","0","35"
"22E","PM","10142018","75","50º F","None",,,"Calm",,"1","2","20"
"22E","AM","10182018","224","40s, Cold, Sunny, Windy","None",,"Humans, Dogs, Birds","Calm",,"1","0","20"
"22F","PM","10142018","201","58º F, cool",,,"Humans","Busy",,"1","8","20"
"22G","AM","10182018","76","40º F, Windy, Clear","None",,"Humans, Dogs","Medium",,"1","5","24"
"22G","PM","10182018","215","53º F, Sunny","Some",,"Humans, Dogs, Birds","Busy",,"1","3","25"
"22H","AM","10182018","37","44º F, Sunny, Windy",,,"Humans, Dogs, Pigeons","Busy",,"1","0","20"
"22H","PM","10072018","132","78º F, More overcast","Some",,"Humans, Dogs, Rats, Sparrows","Busy",,"1","4","20"
"22I","PM","10132018","78","55º F, partly cloudy","Some",,"Humans, Dogs, Pigeons, Birds (galore: House sparrows, House finch, Blue jay, etc.)","Busy",,"1","0","20"
"23A","AM","10182018","94","Sunny","None",,"Humans, Dogs","Calm",,"1","5","25"
"23B","PM","10122018","29","60º F, Breezy","None",,"Humans, Dogs, Robins, Jays","Busy",,"1","7","26"
"23B","AM","10192018","57","48º F, Chilly, Mild","None",,"Humans, Dogs, Falcons","Moderate",,"1","0","24"
"23C","PM","10142018","45","57º F, overcast","Some",,"Humans, Dogs, Horse (saw droppings)","Busy","Lots of foot and bike traffic on paths","1","4","21"
"23C","AM","10192018","57","48º F, Chilly, Mild","None",,"Humans, Dogs, Falcons","Busy","Noisy","1","1","23"
"23D","AM","10132018","2","~56º F, drizzle","None",,"Humans, Dogs, Ducks","Busy",,"1","1","25"
"23E","AM","10142018","216","54º F, partly cloudy","Some",,"Humans, Dogs, Birds","Busy",,"1","0","27"
"23E","PM","10062018","265","drizzling, cloudy","Some",,"Humans, Dogs, Pigeons, Small birds","Calm",,"1","1","35"
"23F","AM","10182018","166","44º F, Sunny, Windy","None",,"Humans, Dogs, Sparrows, Crows, Cardinal","Busy",,"1","1","20"
"23F","PM","10132018","205","55º F, partly cloudy (with sun)","Some",,"Humans, Dogs, Blue Jay, Rat, Bee, Sparrow","Moderate","Busy near gate house, quiet on and south of Transverse, reservoir path medium","1","4",
"23G","AM","10182018","239","44º F, Sunny, Clear Sky, Windy (Gusts(","Some",,"Humans, Few and calls of larger birds, but not visible","Busy",,"1","0","25"
"23H","PM","10192018","45","60º F, Partly Cloudy","Some",,"Humans, Dogs","Calm, Busy","Busy on Running Path","1","1","17"
"23H","AM","10142018","240","55º F, partly sunny","Some",,"Humans, Dogs, Runners","Busy",,"1","0","17"
"23I","AM","10192018","23","46º F, Sunny, no clouds","None",,"Humans, Dogs, Small birds","Busy",,"1","1","45"
"23I","PM","10192018","45","60º F, Partly Cloudy","None",,"Humans, Dogs, Ducks","Busy","Busy","1","3","25"
"24A","AM","10142018","170","50º F, Sunny, Clear","None",,"Humans, Dogs","Busy","5k","1","2","25"
"24B","PM","10102018","65","70s, sunny, humid","Some",,"Humans, Dogs, Birds","Busy",,"1","0","20"
"24B","AM","10132018","243","50º F, rain, very cloudy","None",,"Humans, Dogs, Birds","Busy",,"1","1","30"
"24C","AM","10102018","104","73º F, Vaguely sunny","None",,"Pigeons, Other birds","Busy",,"1","0","35"
"24C","PM","10172018","115","62º F, sunny, windy",,,,,,"1","0","25"
"24I","AM","10192018","250","45º F, Sunny, Windy","Some",,"Humans, Dogs","Busy",,"1","1","30"
"25A","AM","10132018","243","50º F, drizzle, light rain, overcast","None",,"Humans, Dogs, Other Birds","Busy","Busy (road)","1","5","40"
"25B","AM","10142018","28","Partly cloudy",,,"Humans, Dogs, Warblers",,,"1","0",
"25B","PM","10072018","41","80º F, Sunny. Humid.","None",,"Humans","Busy",,"1","2","20"
"25I","PM","10072018","155","Humid","Some",,,"Busy",,"1","8","45"
"25I","AM","10122018","204","60º F, windy","None",,"Humans, Dogs, Pigeons, Song birds","Calm",,"1","3","35"
"26A","AM","10142018","248","51º F, Mostly Cloudy, Light Breeze","None",,"Humans, Dogs","Busy",,"1","2","20"
"26B","AM","10102018","104","70º F Humid and cloudy","None",,"Humans, Dogs, Pigeons","Busy",,"1","1","30"
"26B","PM","10172018","250","62º F, sunny, windy","Some",,"Humans, Dogs, Pigeons, Ducks","Busy",,"1","0","20"
"26I","PM","10102018","211","79º F, Part sunny","Some",,"Humans, Dogs","Busy",,"1","6","20"
"26I","AM","10102018","224","73º F, Partly cloudy, muggy, occasional cool breeze","Some",,"Humans, Dogs, Seagull","Busy",,"1","2","26"
"27A","AM","10082018","97","65º F, overcast, cloudy, light drizzle","Some",,"Humans, Dogs, Chickadees","Calm",,"1","2","25"
"27A","PM","10062018","265","drizzling cloudy","None",,"Humans, Pigeons","Busy",,"1","1","32"
"27B","AM","10142018","170","49º F, Sunny, Clear","Some",,"Humans, Dogs, Birds","Busy","5k race","1","0","23"
"27C","AM","10142018","248","53º F, mostly sunny, calm","None",,"Humans, Turtle (in water)","Busy",,"1","0","5"
"27C","PM","10122018","250","61º F, sunny, windy","None",,"Humans","Busy",,"1","0","20"
"27I","AM","10072018","102","Cool","None",,"Butterfly","Busy","Heavy human congestion","1","4","42"
"28A","PM","10072018","40","80º F, Overcast. Humid.","Abundant",,"Humans, Dogs, Birds","Busy",,"1","5","20"
"28A","AM","10142018","124","50º F, Sunny & Cloudy","Some",,,"Calm",,"1","1","25"
"28B","AM","10072018","122","71º F, Overcast. Breezy","Some",,"Humans, Dogs, Pigeons","Busy",,"1","1","25"
"28B","PM","10102018","161","79º F, Humid, sunny","Some",,"Humans, Dogs, Pigeons","Busy",,"1","2","30"
"28C","AM","10142018","242","50ish, sunny, calm","None",,"Humans, Dogs, Song birds","Busy",,"1","2","22"
"28C","PM","10062018","257",,,,,,,"1","2","20"
"28D","PM","10192018","219","59º F, P/Cloudy, Light Wind","Some",,"Humans, Dogs, Pigeons, Sparrows, Robins, Grackles","Busy",,"1","2","20"
"28D","AM","10122018","250","59º F, windy","None",,"Humans, Dogs, Robins, Blue jay","Busy",,"1","6","21"
"28I","PM","10072018","170","78º F","None",,"Humans, Dogs, Birds","Busy",,"1","1","26"
"28I","AM","10132018","230","50º F, overcast, wet, light rain",,,"Humans, Dogs","Busy",,"1","1","24"
"29A","PM","10192018","242","59º F, Sunny","Some",,"Humans, Dogs, Birds","Busy",,"1","3","20"
"29A","AM","10132018","248","50º F, light rain, calm","Some",,"Humans, Dogs","Busy",,"1","1","25"
"29B","PM","10102018","65","70s, Sunny, humid","None",,"Humans, Dogs, Birds","Busy",,"1","5","25"
"29B","AM","10072018","170","70º F, Overcast. Moist.","Some",,"Humans, Dogs, Robins","Busy",,"1","2","20"
"29C","PM","10062018","9","Cool, cloudy & light drizzle","None",,"Humans, Dogs, Song birds","Busy",,"1","2","23"
"29C","AM","10072018","122","70º F","Some",,"Humans, Dogs, Pigeons","Calm",,"1","6","20"
"29D","AM","10142018","28",,,,,,,"1","6",
"29D","PM","10102018","250","77º F, Sunny","None",,"Humans, Dogs","Busy",,"1","2","20"
"29E","AM","10172018","19","51º F, clear & sunny","Some",,"Humans, Unknown birds","Busy",,"1","0","22"
"29E","PM","10062018","155","Misty, Rain, Cool","None",,"Humans, Dogs","Moderate","Tennis courts and joggers","1","0","20"
"29H","PM","10062018","56","65º F, Foggy","Some",,"Humans, Ducks","Calm",,"1","2","22"
"29H","AM","10132018","230","50º F, drizzle, overcast","Some",,"Humans (runners), Dogs (1 off-leash), Seagulls?","Calm",,"1","0","20"
"29I","PM","10072018","200","80º F, Overcast","Some",,"Humans, Dogs, Pigeons, Cats","Busy",,"1","1","26"
"29I","AM","10192018","250","45º F, Sunny, Windy","Some",,"Humans, Dogs, Hummingbird??","Busy",,"1","0","20"
"30A","AM","10102018","18","22º C, Cloudy and bright","None",,"Humans, Dogs, Pigeons, Midges","Busy",,"1","1","25"
"30A","PM","10202018","250","62º F, Sunny","Some",,"Humans, Dogs","Busy",,"1","4","20"
"30B","PM","10192018","19","59º F","Some",,"Humans, Dogs, Birds (Other)","Busy",,"1","9","22"
"30B","AM","10072018","170","70º F, Overcast. Moist.","Some",,"Humans, Dogs, Assorted Birds","Busy",,"1","12","20"
"30C","PM","10082018","122","65º F, misting","Abundant",,"Humans, Dogs","Busy",,"1","1","20"
"30C","AM","10142018","124","50º F, Cloudy","None",,"Humans, Dogs","Busy",,"1","2","21"
"30D","PM","10072018","40","80º F, Sunny. Humid.","None",,"Humans, Dogs, Lots of Birds","Busy",,"1","0","20"
"30D","AM","10172018","60","51º F, sunny","None",,"Humans, Dogs","Busy",,"1","2","30"
"30E","AM","10082018","97","66º F, drizzle, overcast","None",,"Humans, Dogs, Pigeons","Busy",,"1","3","28"
"30E","PM","10082018","122","65º F, misting","Some",,"Humans, Dogs, Pigeons","Busy",,"1","1","23"
"30F","PM","10072018","200","80º F, Overcast","None",,"Humans, Dogs, Pigeons",,,"1","1","20"
"30F","AM","10192018","242","30º F","None",,"Humans, Dogs","Busy",,"1","0","20"
"30G","AM","10132018","170","50º F, cold, drizzly, overcast","None",,"Humans, Blue jay","Busy",,"1","0","20"
"30G","PM","10102018","211","76º F, Sunny, breezy","None",,"Humans, Dogs","Busy",,"1","0","20"
"30H","AM","10072018","102","Muggy, but cool. Sprinkling.","None",,,"Busy",,"1","3","20"
"30I","AM","10132018","17","49º F, rain showers, calm",,,,,,"1","0","35"
"31A","AM","10102018","18","25º C, Sunny with clouds","Some",,"Humans, Dogs, Blackbird and other birds","Calm",,"1","5","25"
"31A","PM","10172018","250","62º F, sunny, windy","Some",,"Humans, Dogs, Pigeons, Sparrows","Busy",,"1","4","20"
"31B","PM","10072018","41","80º F, Overcast. Humid.","Some",,,"Busy",,"1","4","20"
"31B","AM","10172018","60","51º F, sunny, windy","None",,"Humans, Dogs","Busy",,"1","3","30"
"31C","AM","10172018","19","49º F, clear & sunny","Some",,"Humans, Dogs, Falcons, unknown bird","Calm",,"1","1","24"
"31C","PM","10102018","250","79º F, Sunny","Some",,"Humans, Dogs, Robins","Calm",,"1","3","20"
"31D","PM","10062018","126","65º F, dew point 62º F,  misty, light wind","Some",,"Humans, Dogs","Calm",,"1","4","22"
"31D","AM","10142018","243","50º F, Calm, Fair Sky - Sunny","Some",,"Humans, Dogs","Busy",,"1","7","30"
"31E","AM","10142018","67","49º F, Partly Cloudy, Chilly","Some",,"Humans, Hawks, Dogs","Calm",,"1","1","25"
"31E","PM","10062018","126","65º F, 62º F, dewpoint, light wind, misty","Some",,"Humans, Dogs","Calm",,"1","9","20"
"31F","PM","10072018","155","Humid","Some",,"Humans, Dogs, Pigeons","Calm",,"1","5","25"
"31F","AM","10132018","170","50º F, cold, drizzly, overcast, calm","None",,"Humans, Dogs, Birds","Calm",,"1","1","25"
"31G","PM","10072018","170","78º F, Overcast","None",,"Humans, Dogs, Birds","Calm",,"1","1","26"
"31G","AM","10192018","242","46º F,  Windy, Shady","Abundant",,"Humans, Dogs","Busy",,"1","0","20"
"31H","AM","10132018","17","50º F, cloudy, calm","None",,"Humans, Dogs, Sparrows, Jays","Busy",,"1","0","20"
"31H","PM","10082018","217","drizzling","None",,"Humans","Busy",,"1","5","25"
"31I","AM","10122018","204","60º F, windy, cloudy","None",,"Humans, Dogs, Pigeons","Busy",,"1","0","20"
"31I","PM","10192018","219","58º F, P Cloudy","Some",,"Humans, Dogs","Busy",,"1","4","20"
"32A","AM","10182018","247","44º F, Sunny, Breezy","None",,"Humans, Hawks, Dogs","Moderate",,"1","5","20"
"32A","PM","10132018","258",,,,,,,"1","9","23"
"32B","AM","10172018","40","50º F, clear/sunny","Some",,"Humans, Dogs, other Birds","Busy",,"1","4","20"
"32B","PM","10102018","125","81º F, Sunny","None",,"Humans, Dogs, Chipmunk","Busy",,"1","6","35"
"32C","AM","10142018","67","51º F, Partly Cloudy","Abundant",,"Humans, Dogs","Calm",,"1","6","22"
"32C","PM","10132018","171","60º F, partly sunny","None",,"Humans, Dogs","Calm",,"1","13","25"
"32D","PM","10062018","212","65º F, cloudy","None",,"Humans, Dogs, Small birds","Moderate",,"1","9","20"
"32E","PM","10172018","125","61º F, cloudy","Some",,"Humans, Dogs","Busy",,"1","16","25"
"32E","AM","10072018","154","70º F, Overcast. Slight mist.",,,"Humans, Dogs","Calm",,"1","14","20"
"32F","PM","10082018","104","66º F, cloudy","Some",,"Humans, Dogs","Busy",,"1","8","30"
"32F","AM","10122018","114","59º F, partly cloudy, windy",,,"Humans, Dogs","Calm",,"1","7","18"
"32G","PM","10132018","222","56° F, partly cloudy","Some","1 plastic bag","Humans (lots of bikers), Dogs, Small birds","Busy",,"1","3","21"
"32G","AM","10102018","264","73º F",,,"Humans, Hawks, Dogs","Calm",,"1","2","25"
"32H","PM","10062018","81","65º F, cloudy","Some",,"Humans","Calm",,"1","3","30"
"32H","AM","10102018","223","72º F, Overcast","None",,"Humans, Dogs, Other Song birds","Moderate",,"1","1","22"
"32I","AM","10132018","61","49º F, light rain","None",,"Humans, Dogs","Calm",,"1","6","50"
"32I","PM","10072018","183","81F Partly cloudy. Humid.","None",,"Humans, Dogs","Busy",,"1","3",
"33A","PM","10182018","244","Clear Skies, Breezy","Some",,"Humans, Dogs, Song birds","Calm",,"1","4","26"
"33B","PM","10102018","125","81º F, Sunny","None",,"Humans","Busy",,"1","12","27"
"33B","AM","10102018","199","70º F, Nice, overcast","None",,"Humans, Dogs","Calm",,"1","6","30"
"33C","PM","10072018","81","78º F, Cloudy","Some",,"Humans, Dogs, Birds","Busy",,"1","4","20"
"33C","AM","10122018","104","59º F, mostly cloudy, windy (sunny by 9:30)","None",,"Humans, Dogs","Calm",,"1","2","25"
"33D","PM","10062018","35","65º F, Overcast Drizzly","None",,"Humans","Busy","Active Tennis and use of fields","1","3","30"
"33D","AM","10172018","40","51º F, clear, sunny, breezy","None",,"Humans","Calm",,"1","9","20"
"33E","AM","10142018","10","50º F, mostly sunny","None",,"Humans, Dogs, Birds, Humans playing tennis","Calm","Except the tennis court was loud","1","13","20"
"33E","PM","10122018","250","61º F, sunny, windy","Some",,"Humans, Dogs, Sparrows, Woodpecker","Busy",,"1","9","21"
"33F","PM","10122018","19","60º F, sunny, clear","None",,"Humans, Dogs, Warbler (Internet says magnolia warbler), Unknown grey/brown bird","Calm",,"1","6","27"
"33F","AM","10082018","233","65º F, drizzling","None",,"Humans, Dogs, blue jay","Calm",,"1","2","25"
"33G","PM","10062018","41","Calm","Some",,,"Calm",,"1","2","20"
"33G","AM","10132018","145","50º F, light rain","None",,"Humans, Dogs, Small birds","Busy",,"1","3","22"
"33H","AM","10192018","114","46º F, Sunny, Breezy",,,"Humans, Dogs","Calm",,"1","2","20"
"33H","PM","10122018","248","61º F, clear, breezy","Some",,"Humans, Hawks, Dogs","Busy",,"1","0","25"
"33I","PM","10062018","81","65º F, drizzling","Some",,"Humans, Dogs","Calm",,"1","9","25"
"33I","AM","10082018","233","66º F, Drizzly","Some",,"Humans, Dogs, Rat","Calm",,"1","5","30"
"34A","AM","10122018","104","59º F, windy, sunny","None",,"Humans, Dogs, Pigeons, Birds (Assorted)","Calm",,"1","3","25"
"34A","PM","10132018","171","60º F (?), partly cloudy","None",,"Humans, Dogs","Calm",,"1","5","21"
"34B","PM","10072018","81","78º F, Cloudy","Some",,"Humans, Dogs","Busy",,"1","1","30"
"34C","PM","10122018","77","61º F, sunny, light breeze","None",,"Humans, Dogs","Calm","People on path, not in fields","1","4","23"
"34C","AM","10072018","154","70º F, Overcast",,,,"Calm",,"1","2","22"
"34D","PM","10072018","1","80º F, Humid. Overcast.","None",,"Humans, Dogs","Busy",,"1","3","26"
"34E","PM","10062018","212","65º F, Drizzle","None",,"Humans, Dogs, Falcons, Small birds","Calm",,"1","2","25"
"34E","AM","10182018","247","45º F, Brisk","None",,,,,"1","0","20"
"34F","AM","10072018","10","70º F, Overcast","None",,"Humans, Dogs, Butterflies, Birds with red chest","Calm",,"1","1","20"
"34F","PM","10122018","35","clear blue sky, breezy, getting cold","Some",,"Humans, Dogs","Calm",,"1","1","30"
"34G","PM","10062018","46","drizzling","Some",,"Humans, Dogs, Many Small birds","Calm",,"1","2","20"
"34G","AM","10182018","60",,,,,,,"1","0",
"34H","PM","10062018","46","sprinkling","Some",,"Humans, Dogs, Children in costume","Calm",,"1","7","20"
"34H","AM","10072018","237","76º F, Cloudy","Some",,"Humans, Dogs, Pigeons, Robins, Woodpeckers","Busy",,"1","1","25"
"34I","PM","10102018","42","77-80º F","Some",,,"Calm",,"1","7","47"
"34I","AM","10122018","114","59º F, misty, windy","Some",,"Humans","Busy",,"1","4","20"
"35A","AM","10142018","10","50º F, mostly sunny","None",,"Humans, Dogs, Birds",,"Some dogs off leashes next to roads","1","8","22"
"35A","PM","10132018","81","54º F, partly cloudy","None",,"Humans, Dogs","Calm",,"1","12","20"
"35B","PM","10132018","45","56° F, Partly Cloudy","None",,"Humans, Dogs, Rats, Ducks, Canada Geese","Calm","Foot traffic on the path","1","7","28"
"35B","AM","10102018","223","73º F, Cloud/Overcast, beginning to clear, humid","None",,"Humans, Dogs, Sparrows","Calm",,"1","4","22"
"35C","AM","10072018","209","70º F, Overcast","None",,"Humans, Dogs","Busy",,"1","6","21"
"35C","PM","10132018","248","56° F, Partly Cloudy, Breeze",,,"Humans, Dogs","Busy",,"1","8","23"
"35D","AM","10192018","186","45º F, Sunny, Windy","None",,"Humans, Dogs, Birds, No Pigeons","Busy","Chainsaw in distance, park golf carts zipping around, joggers","1","2","20"
"35D","PM","10132018","258",,,,,,,"1","9","23"
"35E","PM","10062018","35","68º F, Overcast Misty","Some",,"Humans, Dogs","Busy",,"1","7","30"
"35E","AM","10202018","114","55º F, Overcast, Breezy","Some",,"Humans, Hawks, Dogs","Calm",,"1","4","21"
"35F","PM","10122018","19","61º F, sunny, clear","None",,"Humans, Hawks, Dogs, Blue jay","Calm",,"1","3","27"
"35F","AM","10072018","237","74º F, Cloudy","Some",,"Humans, Dogs","Busy",,"1","1","1"
"35G","AM","10072018","10","70º F, Overcast","Some",,"Humans, Dogs, Birds.","Busy",,"1","2","20"
"35G","PM","10062018","196","64 F Cloudy & misty",,,,"Moderate",,"1","1","20"
"35H","AM","10132018","61","49º F, light rain","None",,"Humans, Dogs","Calm",,"1","2","23"
"35H","PM","10122018","248","61º F, clear sky, breezy","None",,"Humans, Dogs","Busy",,"1","0","25"
"35I","PM","10062018","41","68º F, misty, humid","Some",,"Humans, Dogs, Field mouse, Chipmunk","Calm","Hilly, rocky terrain","1","2","20"
"35I","AM","10132018","145","50º F, light rain","Some",,"Humans, Dogs, Small birds","Calm","Calm in hectare, but cars on [road]","1","1","23"
"36A","AM","10182018","2","45º F, Brisk, Clear","None",,"Humans, Dogs, Birds, Sparrows","Calm",,"1","2","23"
"36A","PM","10132018","243","56º F, mostly sunny, very slight breeze","Some",,"Humans, Dogs, Pigeons, Chipmunk (?), Crickets","Busy","Busy (bypassers)","1","9","67"
"36B","AM","10132018","41","50º F, rainy","Some",,"Humans, Dogs, Ducks","Calm",,"1","4","23"
"36B","PM","10132018","81","54º F, partly cloudy","None",,"Humans, Birds (lots of screeching, not sure what kind of birds)","Calm",,"1","5","20"
